,importance
Q_23,0.4495493436945197
Q_21,0.06435564972094021
Q_22,0.04786703515841112
Q_daily_mean,0.037673323832961805
Q_daily_max,0.02825852542645309
Q_20,0.026570137608698346
Q_daily_mean_lag_7d,0.02497847634200041
Q_daily_mean_lag_3d,0.02453090772110133
Q_7d_mean,0.024495571760249562
pr_7d_sum,0.024051239439838376
Q_daily_mean_lag_6d,0.020627736442662453
Q_17,0.02012838750334547
Q_daily_mean_lag_2d,0.015120786038365665
Q_3d_mean,0.013488582262239484
pr_3d_sum,0.011354653189971808
Q_daily_mean_lag_1d,0.010824851409105588
Q_19,0.010597605877557356
pr_daily_sum_lag_3d,0.009298191477088977
pr_daily_sum_lag_2d,0.007735086026986549
pr_daily_sum_lag_7d,0.007441962121009616
Q_18,0.007346572868337872
pr_daily_sum_lag_6d,0.007245787400881984
pr_daily_sum_lag_1d,0.007057291646988669
Q_13,0.006537052520020501
Q_16,0.005910273788579648
Q_00,0.005093664627100564
Q_15,0.004620856916225699
Q_14,0.004340239792700151
Q_09,0.004313120183557867
Q_02,0.003757138150222737
Q_10,0.0036859664530057915
Q_01,0.003633522065865635
Q_12,0.0035867272156726547
Q_06,0.003545938395049272
Q_03,0.0034520449568172947
Q_04,0.003420304143395415
Q_11,0.0034013934744671413
Q_08,0.0032800953269052345
Q_05,0.0032485858841144626
Q_07,0.0031763876959487983
pr_daily_sum,0.0027870386293645513
pr_daily_max,0.0025761688730445978
pr_23,0.00254622664376869
pr_00,0.0017609221986438408
pr_21,0.001679949626346859
pr_22,0.0016449060538087858
pr_10,0.0014709800267535922
pr_20,0.001264070965329519
pr_01,0.001159121509273265
pr_18,0.0010775846583385568
pr_02,0.0010678888919217928
pr_19,0.000994127343452351
pr_17,0.0009546982156402891
pr_16,0.000914263561616172
pr_11,0.000839609649385499
pr_09,0.0008080787463417632
pr_03,0.0008013033233848624
pr_07,0.0007526685639054039
pr_06,0.0007216058691622891
pr_04,0.000720216100303906
pr_13,0.0006977995341567289
pr_05,0.0006844557414285694
pr_08,0.0006807930335161299
pr_15,0.0006240192682628536
pr_14,0.000620373779485492
pr_12,0.0005501126339992414
